ticker,sleeve,company_name,sector,industry,roic_5yr_avg,revenue_growth_3yr,fcf_positive_years,net_debt_to_ebitda,gross_margin,current_price,high_52w,pct_off_high,ret_20d_pct,rsi,rsi_slope,macd_hist,macd_hist_prev,ema_short,ema_long,ema_50,vol_ratio,vol_surge,s_trend,s_macd,s_rsi,s_price,s_vol,w_score,w_ema_stack,w_macd_hist,w_rsi,momentum_score,signal,polygon_vol_surge,data_source_technicals,spy_regime,rs_vs_spy,sector_heat_boost,momentum_score_raw,_display_score
CDNS,momentum,"Cadence Design Systems, Inc.",Technology,Software - Application,0.199078646195712992600,0.14143248241855326953,3,-0.22035765144416972500,0.8689506525177868,376.19,416.39,9.654410528590985,5.404875315214352,53.891414156702176,-2.442643925521067,1.1438303725400019,3.871669215599738,391.66449983043054,384.3277930582361,347.21208166487,1.22748931077646,1.02,1.0,0.5,0.8,0.8999999999999999,0.8,0.9,True,10.866727640093202,65.19842244959679,84.76,STRONG BUY,1.02,polygon,True,4.866497672715188,0.0,84.76,84.76
MNST,momentum,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,0.203751837134900126800,0.09536812883872684245,3,-0.86859312838530000,0.5552808625778,89.55,89.55,0.0,17.875477162037644,66.41112581398221,0.11383384283094244,-0.1458119047555977,-0.1471642002728646,88.5245249355533,87.73983260507015,82.6134464641206,1.2554962250266448,1.14,1.0,0.1,1.0,1.0,0.8,1.0,True,0.9897816575636393,69.58623087989477,83.2,STRONG BUY,1.14,polygon,True,2.1363583040579415,0.0,83.2,83.2
MSCI,momentum,MSCI Inc.,Financial Services,Financial - Data & Stock Exchanges,0.294565384744988147200,0.11707823751600757848,3,2.8925392312100525,0.825682529956427,615.46,643.83,4.406442694500101,4.60424562775125,58.084463826680725,-2.980282192714223,1.8781066834960658,2.9738396230775876,616.3823228844,610.499857284,586.7800250099222,0.9897842589859737,1.15,1.0,0.3,1.0,0.6000000000000001,0.2,1.0,True,6.714577765419979,58.32567777528487,74.88,BUY,1.15,polygon,True,1.7219721041277383,0.0,74.88,74.88
FTNT,momentum,"Fortinet, Inc.",Technology,Software - Infrastructure,0.282091902946110115200,0.15461947760091376587,3,-0.53944153321750,0.7956957427,144.68,149.67,3.3340014699004383,34.000185216,73.01099036883245,-1.443395066184283,0.6009065779572165,1.1434414430612154,142.2947689543,137.16820869772218,111.3582930578916,1.049588997083665,1.04,1.0,0.3,0.5,1.0,0.5,0.7333333333333334,True,6.979935507747875,84.12418455070497,70.89333333333335,BUY,1.04,polygon,True,10.36688580391485,0.0,70.89333333333335,70.89333333333335
AMGN,momentum,Amgen Inc.,Healthcare,Drug Manufacturers - General,0.121996579820838535400,0.11784662702,3,2.2405893276013,0.8191188358932903,349.58,388.16,9.939200329760933,6.2262602935367255,61.39566748572,2.3387623444143784,2.1106689485970387,1.4815510868382242,339.46424477465257,337.68928815105096,340.7266022083,1.2265597071249188,0.94,0.3,1.0,1.0,0.7,0.8,0.5666666666666667,False,-3.2814327291744974,54.270410317436486,70.83333333333333,BUY,0.94,polygon,True,-0.04798363540475278,0.0,70.83333333333333,70.83333333333333
IBKR,momentum,"Interactive Brokers Group, Inc.",Financial Services,Investment - Banking & Investment Services,0.176490190294791411600,0.3464175245582,3,-0.50843274371825,0.9112404510735,84.4,88.72,4.86925157799819,0.8242742802532695,52.012959045818356,-1.8455348267573,-0.20273128338575752,0.002972395493126445,85.89403942350872,85.41064347975521,80.65683567952934,0.9372903108859587,1.12,1.0,0.0,0.8,0.6000000000000001,0.2,0.9,True,1.265882080303271,61.254574174766304,63.44000000000001,BUY,1.12,polygon,True,2.1665380864895742,0.0,63.44000000000001,63.44000000000001
PM,momentum,Philip Morris International Inc.,Consumer Defensive,Tobacco,0.280677883485484000,0.08570152218403,3,2.4391367063404,0.6564369812777456,178.29,191.86,7.072865631189417,4.196131143708713,51.37344381299839,0.5612103752892608,-1.7339448302031264,-2.0691591749799096,177.6267704469562,178.59389907611742,174.75490389998703,1.0482443640502503,0.99,0.1,0.1,0.8,0.6000000000000001,0.5,0.9,True,1.2296737958251462,55.36200620078862,49.92,WATCH,0.99,polygon,True,1.3005218313251268,0.0,49.92,49.92
V,momentum,Visa Inc.,Financial Services,Financial - Credit Services,0.256289608343490329600,0.1109523269,3,0.2215360334000,0.8168057976332447,323.57,357.56,9.506096878845515,0.7127739043824766,51.618767167008734,-0.4846357595107662,-1.393292322797431,-1.815104,321.7369296240714,322.65764064407,320.3705709062908,0.8473282974893,1.09,0.1,0.1,0.8,0.6000000000000001,0.2,0.9,True,2.695526071401675,50.099420623074295,45.00000000000001,WATCH,1.09,polygon,True,0.7382480487121891,0.0,45.00000000000001,45.00000000000001
